episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
6700,191.616924,12.121751,168.664841,0.732220,0.022874,0.723795,0.214460,0.033160,0.230298,26.298860,0.415143,26.584434,171.557579,33.510358,189.759672,0.848200,0.064051,0.844759,0.106680,0.038779,0.098187,27.450880,0.530850,27.722564
6800,172.374440,12.291670,169.592241,0.695460,0.049522,0.716712,0.232380,0.034327,0.230818,26.410160,0.705312,26.540865,193.455528,19.720410,190.683636,0.865200,0.050793,0.849870,0.090660,0.029169,0.096305,28.296280,0.433577,27.865993
6900,185.722152,22.393716,173.624719,0.732280,0.049149,0.720604,0.224200,0.020795,0.229164,26.396580,0.625598,26.504794,190.548756,32.103831,190.649916,0.857500,0.052212,0.851777,0.094660,0.037177,0.095894,27.826580,0.426036,27.856140
7000,177.660640,11.281273,174.633699,0.738700,0.043657,0.725128,0.208360,0.016397,0.223963,26.387000,0.169784,26.475345,183.178020,12.598122,188.781942,0.838540,0.049712,0.848468,0.100140,0.043103,0.096955,28.264900,0.698117,27.958330
7100,175.645562,29.001497,174.886665,0.718240,0.049273,0.723406,0.238280,0.038663,0.227542,26.249360,0.656883,26.418849,184.871089,23.997718,187.804229,0.858240,0.059511,0.850911,0.106820,0.038980,0.099422,28.281140,0.471547,28.039032
7200,142.562766,16.390781,166.805690,0.775700,0.023307,0.736479,0.209860,0.023718,0.223122,27.334640,0.443658,26.647797,197.169043,17.088578,190.145432,0.857020,0.046151,0.852438,0.081240,0.037263,0.094876,28.272680,0.594984,28.097444
7300,151.844358,23.203500,163.065357,0.703540,0.030578,0.728245,0.222920,0.029687,0.223071,26.965540,0.798587,26.727233,187.546678,21.000891,189.495744,0.867560,0.059225,0.856219,0.096740,0.047631,0.095342,28.210060,0.522829,28.125598
7400,164.894883,17.810908,163.522738,0.744800,0.038125,0.732383,0.231400,0.026943,0.225153,27.520520,0.649312,26.925554,190.843888,19.112814,189.832780,0.877180,0.038973,0.861459,0.090680,0.046900,0.094177,28.108800,0.389349,28.121399
7500,144.262016,20.142623,158.707558,0.735240,0.039337,0.733098,0.215340,0.018719,0.222700,26.704640,0.282962,26.870326,196.162127,21.129616,191.415116,0.837100,0.065591,0.855369,0.089060,0.041653,0.092897,28.192580,0.520194,28.139194
7600,144.283194,8.969084,155.101467,0.738260,0.039136,0.734388,0.244240,0.022461,0.228085,27.002560,0.374805,26.903384,215.512032,34.847094,197.439345,0.878500,0.047683,0.861152,0.109160,0.055447,0.096963,28.132040,0.413904,28.137406
7700,184.470352,4.621619,162.443688,0.726320,0.028616,0.732371,0.223060,0.044173,0.226829,27.053920,0.670800,26.941018,193.757533,22.910245,196.518892,0.876680,0.063252,0.865034,0.099980,0.045104,0.097717,27.884020,0.598146,28.074059
7800,171.298625,12.467352,164.657422,0.728920,0.029070,0.731508,0.221860,0.023375,0.225587,26.934940,0.256208,26.939499,184.912518,18.395354,193.617299,0.879260,0.049012,0.868590,0.085020,0.039523,0.094543,28.236120,0.606927,28.114574
7900,157.935217,20.825778,162.976871,0.765900,0.042948,0.740106,0.219140,0.022640,0.223975,26.680680,0.326250,26.874794,203.751061,31.502662,196.150739,0.855040,0.057662,0.865203,0.092120,0.040474,0.093937,27.847020,0.569977,28.047686
8000,175.755842,14.552321,166.171614,0.726840,0.045629,0.736790,0.218160,0.016766,0.222521,26.510880,0.207086,26.783816,205.649457,23.837861,198.525418,0.865800,0.051835,0.865352,0.085080,0.052880,0.091723,28.058700,0.406624,28.050439
