episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
7100,105.268342,18.111548,118.075318,0.681560,0.034307,0.641254,0.298180,0.037772,0.304143,25.792360,0.496375,26.072376,145.565306,13.599403,150.811631,0.719460,0.028763,0.702445,0.223920,0.027162,0.229050,26.583740,0.663663,26.417188
7200,113.383315,19.876357,116.902317,0.642320,0.082188,0.641521,0.288860,0.044762,0.300322,25.453580,0.489611,25.917677,136.231988,17.101712,147.166720,0.725420,0.039389,0.708189,0.229000,0.027996,0.229037,25.818500,0.621650,26.267516
7300,133.555608,15.740376,121.065640,0.582740,0.064305,0.626826,0.316800,0.045732,0.304442,26.158780,0.485318,25.977953,110.315689,12.323521,137.953962,0.717540,0.052614,0.710527,0.243720,0.036182,0.232708,25.682780,0.584230,26.121332
7400,136.580062,12.919144,124.944245,0.661460,0.048949,0.635484,0.304540,0.029974,0.304466,25.858220,0.741777,25.948020,135.922576,14.384671,137.446116,0.704680,0.041399,0.709065,0.213280,0.012555,0.227851,25.531180,0.648749,25.973794
7500,121.939049,14.601213,124.192946,0.683160,0.067870,0.647403,0.299400,0.034310,0.303200,26.938460,0.653521,26.195630,142.930095,18.773425,138.817110,0.706300,0.029100,0.708374,0.236640,0.024050,0.230048,25.781120,0.320042,25.925626
7600,153.211678,23.126765,131.447629,0.657400,0.027882,0.649902,0.285240,0.024439,0.298710,27.003940,0.946526,26.397707,128.673221,21.367007,136.281138,0.724180,0.029005,0.712325,0.211340,0.025179,0.225371,26.047120,0.405001,25.955999
7700,172.465968,14.036877,141.702214,0.672360,0.058947,0.655517,0.251080,0.026014,0.286802,26.559900,0.348256,26.438255,153.713461,12.446579,140.639219,0.702820,0.018348,0.709949,0.211860,0.030655,0.221993,26.539120,0.248726,26.101779
7800,153.240831,7.068133,144.586868,0.663220,0.046421,0.657443,0.274900,0.042254,0.283827,26.677400,0.578961,26.498042,180.156596,13.668976,150.518563,0.765100,0.056178,0.723737,0.239080,0.025185,0.226265,26.580740,0.583573,26.221520
7900,145.177527,16.072679,144.734533,0.664040,0.036022,0.659092,0.283940,0.028237,0.283855,26.139380,0.593299,26.408376,173.079014,12.327658,156.158676,0.722320,0.026835,0.723383,0.219040,0.017379,0.224459,27.203120,0.801727,26.466920
8000,159.931692,16.593013,148.533823,0.638360,0.046713,0.653909,0.297360,0.022385,0.287231,25.691660,0.435475,26.229197,155.099288,1.721151,155.893829,0.744960,0.011704,0.728777,0.198920,0.016096,0.218074,26.949340,0.352671,26.587525
