init,     2026-04-08 14:20:08.315999
arguments,Namespace(lr=0.001, gamma=0.97, entropy=0.1, PPO_epochs=5, eps_clip=0.2, alg='ppo', cuda=-1, thread=-1, train_num=2000, rep=11, ignore_checkpoint=False, monitor_time=False, task='gymip', model='rwtaprob', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, road_scenario='merge', traffic_level='standard', skip_post_tests=False)
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/logs
train,    544, -60.178795
train,    545, -60.289804
train,    546, -60.306913
train,    547, -60.186254
train,    548, -60.323819
train,    549, -60.053746
train,    550, -60.187799
train,    551, -60.341709
train,    552, -60.318807
train,    553, -60.315193
train,    554, -60.177884
train,    555, -60.351634
train,    556, -60.058837
train,    557, -60.290572
train,    558, -60.056587
train,    559, -60.185468
train,    560, -60.281979
train,    561, -60.339193
train,    562, -60.135174
train,    563, -60.314721
train,    564, -60.250516
train,    565, -60.264671
train,    566, -60.256103
train,    567, -60.384701
train,    568, -60.055917
train,    569, -60.233216
train,    570, -60.055810
train,    571, -60.234586
train,    572, -60.284454
train,    573, -60.317488
train,    574, -60.245480
train,    575, -60.053767
train,    576, -60.308884
train,    577, -60.318157
train,    578, -60.270029
train,    579, -60.056045
train,    580, -58.370646
train,    581, -60.267810
train,    582, -60.179001
train,    583, -60.056887
train,    584, -60.053045
train,    585, -60.056976
train,    586, -60.283818
train,    587, -60.240921
train,    588, -60.315318
train,    589, -60.273780
train,    590, -60.186194
train,    591, -60.058868
train,    592, -60.052999
train,    593, -60.056994
train,    594, -60.270846
train,    595, -60.135732
train,    596, -60.135991
train,    597, -60.186657
train,    598, -60.052885
train,    599, -60.238700
val,      599,   -60.217904,   -60.238700
train,    600, -60.056069
train,    601, -60.262467
train,    602, -60.058795
train,    603, -60.055805
train,    604, -60.053775
train,    605, -60.138992
train,    606, -60.279485
train,    607, -60.265685
train,    608, -60.053897
train,    609, -60.308092
train,    610, -60.263817
train,    611, -60.058655
train,    612, -60.224138
train,    613, -60.250261
train,    614, -60.186136
train,    615, -60.261339
train,    616, -60.056610
train,    617, -60.056516
train,    618, -60.056033
train,    619, -60.053878
train,    620, -60.055873
train,    621, -60.293288
train,    622, -60.057262
train,    623, -60.299577
train,    624, -60.228617
train,    625, -60.273514
train,    626, -60.294033
train,    627, -60.313786
train,    628, -60.058594
train,    629, -60.182362
train,    630, -60.293536
train,    631, -60.295864
train,    632, -60.056682
train,    633, -60.052824
train,    634, -60.052573
train,    635, -60.271769
train,    636, -60.322390
train,    637, -60.053182
train,    638, -60.221531
train,    639, -60.312334
train,    640, -60.146557
train,    641, -60.389962
train,    642, -60.638472
train,    643, -60.053053
train,    644, -60.181523
train,    645, -60.265908
train,    646, -60.135158
train,    647, -60.154450
train,    648, -60.052453
train,    649, -60.255242
train,    650, -60.057199
train,    651, -60.302458
train,    652, -64.889128
train,    653, -60.052446
train,    654, -60.056176
train,    655, -60.052916
train,    656, -60.219848
train,    657, -60.055507
train,    658, -60.233482
train,    659, -64.993207
train,    660, -60.056309
train,    661, -60.055381
train,    662, -57.555419
train,    663, -60.378034
train,    664, -60.058689
train,    665, -60.266390
train,    666, -54.314855
train,    667, -60.339896
train,    668, -60.057057
train,    669, -60.206140
train,    670, -60.056368
train,    671, -60.225941
train,    672, -60.314096
train,    673, -60.262267
train,    674, -60.054018
train,    675, -60.052401
train,    676, -60.058464
train,    677, -60.052435
train,    678, -60.189412
train,    679, -60.234654
train,    680, -60.259525
train,    681, -60.310880
train,    682, -60.055771
train,    683, -60.053190
train,    684, -60.055837
train,    685, -60.053160
train,    686, -60.056131
train,    687, -60.056867
train,    688, -60.284035
train,    689, -60.055761
train,    690, -60.138835
train,    691, -60.331528
train,    692, -60.139243
train,    693, -60.055358
train,    694, -60.053288
train,    695, -60.058910
train,    696, -60.302750
train,    697, -60.058849
train,    698, -60.176363
train,    699, -60.053519
val_save, 699,   -59.904590
val,      699,   -59.904590,   -60.053519
train,    700, -60.052339
train,    701, -60.251632
train,    702, -60.317550
train,    703, -60.291709
train,    704, -60.053110
train,    705, -60.279026
train,    706, -60.300619
train,    707, -60.324497
train,    708, -60.267790
train,    709, -60.245193
train,    710, -60.052542
train,    711, -60.058509
train,    712, -60.240228
train,    713, -60.053880
train,    714, -60.317237
train,    715, -60.277143
train,    716, -60.172639
train,    717, -60.243155
train,    718, -60.053906
train,    719, -60.053853
train,    720, -60.182524
train,    721, -60.053559
train,    722, -60.316223
train,    723, -60.279019
train,    724, -60.264379
train,    725, -60.325077
train,    726, -60.283846
train,    727, -60.052917
train,    728, -60.053417
train,    729, -57.554583
train,    730, -60.055304
train,    731, -60.053276
train,    732, -60.281364
train,    733, -60.053094
train,    734, -60.272900
train,    735, -60.052547
train,    736, -60.286785
train,    737, -60.056020
train,    738, -60.154685
train,    739, -60.294667
train,    740, -60.056849
train,    741, -60.218857
train,    742, -60.290763
train,    743, -60.056271
train,    744, -60.315988
train,    745, -60.055982
train,    746, -60.058861
train,    747, -60.053714
train,    748, -60.324660
train,    749, -60.055476
train,    750, -60.056654
train,    751, -60.273321
train,    752, -60.053157
