episode,timesteps,is_best,mean_return,mean_return_smooth,success_rate,success_rate_smooth,collision_rate,collision_rate_smooth,mean_speed,mean_speed_smooth
2729,2729,0,30.408886,28.842723,0.777200,0.780366,0.209500,0.191036,20.816300,20.843243
2739,2739,0,31.175506,29.425919,0.749900,0.772750,0.184800,0.189477,20.862400,20.848032
2749,2749,0,32.053299,30.082764,0.757900,0.769037,0.202900,0.192833,20.849400,20.848374
2759,2759,0,34.300084,31.137094,0.765400,0.768128,0.171600,0.187525,20.892300,20.859355
2769,2769,0,30.682429,31.023428,0.782700,0.771771,0.173000,0.183893,20.835800,20.853467
2779,2779,0,31.171128,31.060353,0.762200,0.769378,0.203200,0.188720,20.831800,20.848050
2789,2789,0,29.966283,30.786835,0.769400,0.769384,0.182500,0.187165,20.898900,20.860762
2799,2799,0,29.176229,30.384184,0.782600,0.772688,0.200100,0.190399,20.873200,20.863872
2809,2809,0,27.964126,29.779169,0.780300,0.774591,0.197300,0.192124,20.831300,20.855729
2819,2819,0,27.661495,29.249751,0.753100,0.769218,0.193400,0.192443,20.835300,20.850622
2829,2829,0,28.210539,28.989948,0.779100,0.771689,0.188000,0.191332,20.751900,20.825941
2839,2839,0,30.305940,29.318946,0.769800,0.771216,0.176700,0.187674,20.838700,20.829131
2849,2849,0,32.296652,30.063372,0.734700,0.762087,0.182000,0.186256,20.837800,20.831298
2859,2859,0,32.495411,30.671382,0.769400,0.763915,0.196700,0.188867,20.813500,20.826849
2869,2869,0,30.453457,30.616901,0.773800,0.766387,0.177900,0.186125,20.814400,20.823736
