episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
589,12.893913,0.570250,11.092288,0.404867,0.036591,0.394307,0.513333,0.046735,0.527308,20.254967,0.078914,20.223114,11.728514,6.788760,10.561489,0.554500,0.076136,0.537261,0.434200,0.073469,0.423696,20.485233,0.089463,20.487651
599,10.437788,1.305164,10.928663,0.438700,0.005548,0.405405,0.513367,0.030391,0.523822,20.211867,0.103465,20.220302,14.474211,4.192901,11.539670,0.523300,0.013898,0.533771,0.428600,0.029516,0.424922,20.526133,0.120027,20.497271
609,1.263506,1.481090,8.512374,0.416667,0.004949,0.408221,0.493833,0.027251,0.516325,20.244333,0.059505,20.226310,14.301853,4.154243,12.230216,0.533700,0.063604,0.533753,0.402967,0.022886,0.419433,20.533133,0.100726,20.506237
619,-1.105748,2.384732,6.107843,0.435367,0.020284,0.415007,0.504900,0.019474,0.513469,20.256767,0.093277,20.233924,14.822044,1.043593,12.878173,0.545800,0.007832,0.536765,0.417767,0.037675,0.419016,20.529067,0.067452,20.511944
629,2.518485,1.568635,5.210504,0.407767,0.021798,0.413197,0.506700,0.019049,0.511777,20.213433,0.107111,20.228801,11.558289,4.724308,12.548202,0.514833,0.040259,0.531282,0.412867,0.026572,0.417479,20.533133,0.085559,20.517242
639,7.730261,2.260902,5.840443,0.449733,0.030737,0.422331,0.515367,0.036984,0.512674,20.270300,0.115022,20.239176,11.459445,6.228608,12.276013,0.526767,0.037978,0.530153,0.387333,0.036437,0.409943,20.537767,0.122354,20.522373
649,8.334070,1.485327,6.463850,0.424100,0.014500,0.422773,0.462800,0.032890,0.500206,20.265000,0.106437,20.245632,11.630596,3.801611,12.114658,0.551267,0.037777,0.535432,0.414833,0.048972,0.411165,20.519333,0.068222,20.521613
659,11.904577,0.983679,7.824032,0.404900,0.012850,0.418305,0.504533,0.013371,0.501288,20.246167,0.102621,20.245766,10.161244,2.234934,11.626305,0.552300,0.024019,0.539649,0.396500,0.028246,0.407499,20.474733,0.114491,20.509893
669,11.631855,5.330677,8.775987,0.420400,0.030745,0.418829,0.476700,0.035958,0.495141,20.185967,0.084101,20.230816,10.586927,4.422908,11.366460,0.602967,0.062849,0.555478,0.409000,0.013698,0.407874,20.477100,0.172939,20.501695
679,10.844995,2.355041,9.293239,0.386433,0.033004,0.410730,0.454033,0.005961,0.484864,20.255167,0.048853,20.236904,11.899678,3.327826,11.499765,0.549033,0.031286,0.553867,0.375767,0.024752,0.399847,20.557800,0.087205,20.515721
689,8.462149,4.511852,9.085467,0.443300,0.026684,0.418872,0.444633,0.028872,0.474806,20.219667,0.119539,20.232594,15.652288,6.953692,12.537896,0.580967,0.025001,0.560642,0.388700,0.064338,0.397060,20.470900,0.062666,20.504516
699,3.560910,1.208617,7.704328,0.441367,0.013480,0.424496,0.508700,0.020943,0.483280,20.256667,0.097415,20.238612,14.982039,1.609905,13.148932,0.540100,0.064632,0.555506,0.374200,0.043169,0.391345,20.552967,0.057585,20.516629
709,3.583715,1.483276,6.674174,0.433100,0.035150,0.426647,0.479100,0.054172,0.482235,20.235467,0.131881,20.237826,15.034553,3.860295,13.620337,0.562567,0.014714,0.557271,0.386033,0.051515,0.390017,20.599200,0.198048,20.537271
719,10.312408,1.703903,7.583733,0.409267,0.052905,0.422302,0.460200,0.050033,0.476726,20.280267,0.157170,20.248436,13.427827,1.359984,13.572210,0.585500,0.061283,0.564329,0.399300,0.045327,0.392338,20.503500,0.089611,20.528829
729,9.154363,5.566787,7.976390,0.466400,0.023441,0.433326,0.493100,0.011761,0.480820,20.203733,0.134949,20.237260,14.930927,2.401773,13.911889,0.600933,0.014635,0.573480,0.372267,0.036741,0.387320,20.509933,0.056996,20.524105
739,14.976452,1.726320,9.726406,0.452267,0.028894,0.438061,0.466733,0.005961,0.477298,20.281500,0.120952,20.248320,15.386607,3.701923,14.280568,0.580633,0.009169,0.575268,0.379767,0.059937,0.385432,20.488733,0.116525,20.515262
749,19.593183,4.090948,12.193100,0.462500,0.036530,0.444171,0.475933,0.032722,0.476957,20.322533,0.093203,20.266874,14.884558,2.946187,14.431566,0.563433,0.049164,0.572309,0.413067,0.070957,0.392341,20.560600,0.147127,20.526596
759,21.011097,1.508999,14.397599,0.447333,0.037878,0.444962,0.472633,0.021489,0.475876,20.271200,0.099183,20.267955,12.266082,2.357676,13.890195,0.607600,0.038019,0.581132,0.367467,0.027639,0.386122,20.543300,0.107339,20.530772
769,14.688767,1.545753,14.470391,0.467000,0.016657,0.450471,0.517200,0.036194,0.486207,20.308667,0.098041,20.278133,17.120569,5.868986,14.697788,0.577333,0.062077,0.580182,0.366100,0.069233,0.381117,20.515033,0.112086,20.526838
779,12.458403,2.839855,13.967394,0.459167,0.038242,0.452645,0.459967,0.039721,0.479647,20.235400,0.141552,20.267450,17.915307,4.250097,15.502168,0.597867,0.020769,0.584603,0.346700,0.012459,0.372512,20.572733,0.105573,20.538312
789,6.905230,1.159739,12.201853,0.480800,0.016995,0.459684,0.487367,0.006482,0.481577,20.297167,0.141872,20.274879,18.544866,6.832316,16.262842,0.584500,0.036513,0.584578,0.382833,0.052975,0.375093,20.522467,0.075145,20.534350
799,12.288066,2.186990,12.223406,0.450833,0.018275,0.457471,0.476067,0.005661,0.480199,20.251133,0.118941,20.268943,19.671752,2.200731,17.115070,0.576700,0.036808,0.582608,0.363067,0.059771,0.372086,20.523500,0.092432,20.531638
809,10.744553,4.782007,11.853693,0.498267,0.048468,0.467670,0.468433,0.024437,0.477258,20.210633,0.131824,20.254365,21.993478,1.382393,18.334672,0.626300,0.029488,0.593531,0.385300,0.069650,0.375390,20.541567,0.084854,20.534120
819,13.560083,2.652033,12.280291,0.494600,0.033796,0.474403,0.450733,0.047111,0.470627,20.279867,0.114062,20.260741,18.486796,2.493347,18.372703,0.564567,0.062469,0.586290,0.357567,0.047774,0.370934,20.516567,0.050633,20.529732
829,15.992170,3.402658,13.208261,0.447000,0.014557,0.467552,0.475867,0.012934,0.471937,20.231833,0.128067,20.253514,18.010898,3.995559,18.282252,0.609367,0.059350,0.592059,0.306933,0.037900,0.354934,20.554667,0.070362,20.535965
839,18.075219,1.572866,14.425000,0.492900,0.001899,0.473889,0.431833,0.012226,0.461911,20.182767,0.070174,20.235827,21.056434,5.524692,18.975797,0.618300,0.050180,0.598619,0.375300,0.057941,0.360025,20.568433,0.073710,20.544082
849,18.316050,3.723383,15.397763,0.482267,0.026684,0.475983,0.483700,0.010437,0.467358,20.250733,0.074836,20.239554,17.386266,1.339487,18.578414,0.620900,0.006495,0.604190,0.368433,0.052436,0.362127,20.569400,0.130855,20.550412
859,16.763989,0.467736,15.739319,0.461167,0.010754,0.472279,0.462700,0.006786,0.466194,20.247600,0.148762,20.241565,20.004972,2.961135,18.935054,0.604967,0.037370,0.604384,0.349700,0.010324,0.359020,20.485433,0.126750,20.534167
869,14.248945,1.084089,15.366726,0.421133,0.027517,0.459493,0.458900,0.036321,0.464370,20.277600,0.067714,20.250574,18.032818,4.059207,18.709495,0.601533,0.018291,0.603671,0.380433,0.013352,0.364374,20.592467,0.158933,20.548742
