episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
2074,43.027564,3.740929,50.696584,0.652900,0.035926,0.680055,0.265000,0.041771,0.277956,12.608233,0.473427,12.724698,35.525980,8.429720,33.955308,0.744967,0.033966,0.742026,0.175633,0.055182,0.171668,14.045000,0.251197,13.724781
2099,57.550548,4.930599,52.410075,0.676933,0.029411,0.679275,0.279200,0.011677,0.278267,12.460000,0.092773,12.658523,38.252505,6.832921,35.029608,0.784733,0.015617,0.752703,0.180267,0.044798,0.173818,14.305667,0.238364,13.870002
2124,60.572689,2.473891,54.450728,0.704733,0.052456,0.685639,0.227033,0.014665,0.265459,12.100633,0.205869,12.519051,39.599562,4.801945,36.172096,0.770000,0.029707,0.757027,0.181633,0.045818,0.175772,13.889833,0.488618,13.874960
2149,46.782551,4.319198,52.533684,0.680967,0.014505,0.684471,0.266600,0.015519,0.265744,12.451800,0.714039,12.502238,28.413255,12.532961,34.232386,0.755033,0.039043,0.756529,0.161133,0.063126,0.172112,13.467900,0.240733,13.773195
2174,33.458862,7.483009,47.764979,0.688433,0.026237,0.685462,0.252967,0.047422,0.262550,12.263667,0.353609,12.442595,22.516636,5.258963,31.303448,0.778167,0.022872,0.761938,0.208033,0.031571,0.181092,13.909967,0.592063,13.807388
2199,30.316572,1.438913,43.402877,0.681067,0.032758,0.684363,0.244367,0.042467,0.258004,12.419100,0.192103,12.436721,18.867437,4.707544,28.194446,0.756633,0.069369,0.760612,0.133400,0.007161,0.169169,13.831433,0.343546,13.813399
2224,37.438712,6.893877,41.911836,0.673400,0.028785,0.681622,0.217733,0.026746,0.247936,12.367733,0.141608,12.419474,25.430001,9.209667,27.503334,0.736967,0.008206,0.754701,0.144467,0.034313,0.162994,13.872167,0.611103,13.828091
2249,42.817659,4.728222,42.138292,0.681700,0.029870,0.681642,0.244100,0.037271,0.246977,12.453833,0.426110,12.428064,36.792109,9.724021,29.825528,0.770900,0.017240,0.758751,0.144300,0.034421,0.158320,13.610267,0.700086,13.773635
2274,39.858439,2.312004,41.568328,0.668533,0.047504,0.678365,0.214967,0.040047,0.238975,12.550333,0.360149,12.458631,29.517948,6.733741,29.748633,0.731667,0.067759,0.751980,0.153500,0.031644,0.157115,13.560900,0.305843,13.720451
2299,34.925105,1.855458,39.907523,0.672167,0.059657,0.676815,0.210767,0.003953,0.231923,12.426567,0.687456,12.450615,32.042469,11.759886,30.322092,0.753367,0.025849,0.752326,0.135233,0.053971,0.151645,14.444433,0.426485,13.901447
2324,19.480324,2.817493,34.800723,0.645700,0.026473,0.669036,0.232867,0.026660,0.232159,12.643967,0.371829,12.498953,27.160749,6.068978,29.531756,0.732900,0.008114,0.747470,0.146533,0.024869,0.150367,13.667533,0.521024,13.842968
2349,9.739942,4.454021,28.535528,0.648133,0.027745,0.663811,0.227233,0.023890,0.230927,12.318767,0.799618,12.453906,29.298242,4.174620,29.473378,0.755200,0.010032,0.749402,0.112467,0.009264,0.140892,13.762733,0.569603,13.822910
2374,14.659744,2.770017,25.066582,0.628933,0.048552,0.655091,0.234100,0.039060,0.231720,12.266700,0.293254,12.407105,32.131104,4.022472,30.137810,0.795200,0.034074,0.760852,0.149667,0.024253,0.143086,14.033233,0.377033,13.875491
2399,27.919035,5.687860,25.779695,0.658700,0.031951,0.655993,0.246933,0.023583,0.235524,12.310433,0.605746,12.382937,41.535130,7.825283,32.987140,0.790833,0.014056,0.768347,0.155033,0.008560,0.146072,14.246033,0.375499,13.968126
2424,27.405104,0.284675,26.186047,0.638533,0.037668,0.651628,0.223133,0.017993,0.232426,12.093567,0.364165,12.310594,44.722526,2.824566,35.920986,0.795333,0.027682,0.775094,0.149433,0.027922,0.146913,14.083167,0.149535,13.996886
2449,20.513638,2.175533,24.767945,0.659400,0.031558,0.653571,0.256333,0.042090,0.238403,11.844167,0.450329,12.193987,39.896874,5.606720,36.914958,0.774100,0.032222,0.774845,0.127367,0.041809,0.142026,14.092867,0.194970,14.020881
